Name,Location,Price,Area,Rooms,Interior
Flat Lijnbaansgracht 278 B,1017 RL Amsterdam (De Weteringschans),"€3,250 per month",110 m²,3 rooms,Upholstered
Flat Vijzelstraat,1017 HK Amsterdam (Grachtengordel-Zuid),"€3,250 per month",83 m²,2 rooms,Upholstered
Flat Valutaboulevard,1060 RX Amsterdam (De Aker),"€2,450 per month",60 m²,3 rooms,Upholstered
Flat Wiborgeiland,1014 ZC Amsterdam (Houthavens),"€2,500 per month",62 m²,2 rooms,Furnished
Flat Pieter Oosterhuisstraat,1087 HT Amsterdam (IJburg-Zuid),"€2,300 per month",85 m²,2 rooms,Furnished
House Lomanstraat,1075 PZ Amsterdam (Willemspark),"€4,950 per month",145 m²,6 rooms,Furnished
Flat Albert Cuypstraat 201 2,1073 BE Amsterdam (Oude Pijp),"€2,750 per month",65 m²,3 rooms,Furnished
Flat Kribbestraat 54 2,1079 WV Amsterdam (Rijnbuurt),"€2,450 per month",57 m²,3 rooms,Upholstered
Flat Kloveniersburgwal,1012 CW Amsterdam (Burgwallen-Oude Zijde),"€3,000 per month",57 m²,3 rooms,
Flat Kinkerstraat 324 4,1053 GD Amsterdam (Bellamybuurt),"€2,350 per month",45 m²,2 rooms,Furnished
Flat Jan van Schaffelaarplantsoen 17 B,1061 DL Amsterdam (De Kolenkit),"€2,450 per month",59 m²,3 rooms,Upholstered or furnished
Flat Reyer Anslostraat,1054 KV Amsterdam (Overtoomse Sluis),"€2,750 per month",80 m²,3 rooms,
Flat Plantage Kerklaan,1018 CW Amsterdam (Weesperbuurt/Plantage),"€2,900 per month",90 m²,3 rooms,Furnished
Flat Strekkerweg,1033 DA Amsterdam (Tuindorp Oostzaan),"€1,950 per month",74 m²,3 rooms,
Flat Vaartstraat 62 B,1075 RR Amsterdam (Schinkelbuurt),"€2,500 per month",56 m²,3 rooms,Upholstered or furnished
Flat Carnapstraat,1062 KX Amsterdam (Westlandgracht),"€2,450 per month",100 m²,3 rooms,Furnished
Flat Nieuwe Uilenburgerstraat,1011 LM Amsterdam (Nieuwmarkt/Lastage),"€2,650 per month",71 m²,3 rooms,Furnished
Flat Arent Janszoon Ernststraat,1082 LK Amsterdam (Buitenveldert-West),"€2,500 per month",75 m²,4 rooms,Furnished
Flat Rustenburgerstraat,1073 GM Amsterdam (Nieuwe Pijp),"€2,750 per month",46 m²,2 rooms,Furnished
Flat Cruquiuskade,1018 AM Amsterdam (Oostelijke Eilanden/Kadijken),"€2,700 per month",76 m²,3 rooms,Furnished
House Eliza van Calcarstraat,1068 RR Amsterdam (Osdorp-Oost),"€2,750 per month",144 m²,4 rooms,Upholstered
House Westerdok,1013 AZ Amsterdam (Haarlemmerbuurt),"€2,000 per month",100 m²,3 rooms,Furnished
Flat Van Tuyll van Serooskerkenweg,1076 JK Amsterdam (Stadionbuurt),"€2,975 per month",72 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Herengracht,1015 BT Amsterdam (Grachtengordel-West),"€2,500 per month",63 m²,2 rooms,
Flat Geleenstraat,1078 LG Amsterdam (Scheldebuurt),"€3,150 per month",71 m²,4 rooms,Upholstered
Flat Prinsenstraat 12 A,1015 DC Amsterdam (Grachtengordel-West),"€2,850 per month",86 m²,3 rooms,Upholstered
Flat Van Boshuizenstraat,1082 AT Amsterdam (Buitenveldert-West),"€2,500 per month",68 m²,2 rooms,Upholstered
Flat Reinier Claeszenstraat 33 D,1056 WE Amsterdam (Geuzenbuurt),"€2,150 per month",53 m²,2 rooms,
Flat Maria Austriastraat,1087 KJ Amsterdam (IJburg-West),"€2,475 per month",46 m²,3 rooms,
Flat Amstel,1017 AG Amsterdam (Nieuwmarkt/Lastage),"€3,600 per month",110 m²,3 rooms,Furnished
Flat Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers-West),"€2,750 per month",85 m²,3 rooms,Furnished
